#TYPE System.Management.PropertyData
"Name","Value","Type","IsLocal","IsArray","Origin","Qualifiers"
"AccessExecute","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AccessFlags","1","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AccessNoPhysicalDir","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AccessNoRemoteExecute","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AccessNoRemoteRead","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AccessNoRemoteScript","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AccessNoRemoteWrite","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AccessRead","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AccessScript","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AccessSource","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AccessSSL","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AccessSSL128","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AccessSSLFlags","0","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AccessSSLMapCert","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AccessSSLNegotiateCert","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AccessSSLRequireCert","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AccessWrite","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AddNoHeaders","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AdminACLBin",,"UInt8","True","True","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AllowAnonymous","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AlwaysUseSsl","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AnonymousOnly","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AnonymousPasswordSync","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AnonymousUserName","","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AuthAnonymous","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AuthBasic","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AuthFlags","1","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AuthMD5","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AuthNTLM","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AuthPassport","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AzEnable","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AzScopeName","","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"AzStoreName","","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"BadMailDirectory","C:\inetpub\mailroot\Badmail","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"Caption",,"String","False","False","CIM_Setting","System.Management.QualifierDataCollection"
"ClusterEnabled","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"ConnectionTimeout","600","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"ConnectResponse",,"String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"DefaultDomain","VMTest","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"DefaultLogonDomain","","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"Description",,"String","False","False","CIM_Setting","System.Management.QualifierDataCollection"
"DisableSocketPooling","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"DoMasquerade","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"DontLog","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"DropDirectory","C:\inetpub\mailroot\Drop","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"EnableReverseDnsLookup","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"EtrnDays","12","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"EtrnSubdomains","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"FullyQualifiedDomainName","VMTest","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"HopCount","1","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LimitRemoteConnections","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LocalRetryAttempts","48","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LocalRetryInterval","60","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileBytesRecv","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileBytesSent","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileClientIp","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileComputerName","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileCookie","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileDate","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileFlags","1414","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileHost","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileHttpStatus","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileHttpSubStatus","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileMethod","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileProtocolVersion","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileReferer","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileServerIp","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileServerPort","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileSiteName","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileTime","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
